"","Depth","X60km","X80km","X100km","X120km"
"445",44.4,1073.41,899.08,788.98,712.82
"446",44.5,1074.87,900.22,789.92,713.63
"447",44.6,1076.33,901.37,790.86,714.43
"448",44.7,1077.79,902.51,791.81,715.23
"449",44.8,1079.25,903.65,792.75,716.04
"450",44.9,1080.71,904.79,793.69,716.84
"451",45,1082.17,905.94,794.63,717.65
"452",45.1,1083.63,907.08,795.58,718.45
"453",45.2,1085.09,908.22,796.52,719.26
"454",45.3,1086.55,909.37,797.46,720.06
"455",45.4,1088.01,910.51,798.4,720.86
"456",45.5,1089.47,911.65,799.35,721.67
"457",45.6,1090.92,912.79,800.29,722.47
"458",45.7,1092.38,913.93,801.23,723.28
"459",45.8,1093.84,915.08,802.17,724.08
"460",45.9,1095.3,916.22,803.11,724.88
"461",46,1096.76,917.36,804.06,725.69
"462",46.1,1098.22,918.5,805,726.49
"463",46.2,1099.68,919.64,805.94,727.29
"464",46.3,1101.13,920.79,806.88,728.1
"465",46.4,1102.59,921.93,807.82,728.9
"466",46.5,1104.05,923.07,808.77,729.7
"467",46.6,1105.51,924.21,809.71,730.51
"468",46.7,1106.97,925.35,810.65,731.31
"469",46.8,1108.43,926.49,811.59,732.11
"470",46.9,1109.88,927.64,812.53,732.92
"471",47,1111.34,928.78,813.47,733.72
"472",47.1,1112.8,929.92,814.41,734.52
"473",47.2,1114.26,931.06,815.35,735.33
"474",47.3,1115.71,932.2,816.3,736.13
"475",47.4,1117.17,933.34,817.24,736.93
"476",47.5,1118.63,934.48,818.18,737.73
"477",47.6,1120.09,935.62,819.12,738.54
"478",47.7,1121.54,936.76,820.06,739.34
"479",47.8,1123,937.9,821,740.14
"480",47.9,1124.46,939.04,821.94,740.94
"481",48,1125.92,940.18,822.88,741.74
"482",48.1,1127.37,941.33,823.82,742.55
"483",48.2,1128.83,942.47,824.76,743.35
"484",48.3,1130.29,943.61,825.7,744.15
"485",48.4,1131.74,944.75,826.64,744.95
"486",48.5,1133.2,945.89,827.58,745.75
"487",48.6,1134.66,947.03,828.52,746.56
"488",48.7,1136.11,948.17,829.46,747.36
"489",48.8,1137.57,949.31,830.4,748.16
"490",48.9,1139.03,950.45,831.34,748.96
"491",49,1140.48,951.59,832.28,749.76
"492",49.1,1141.94,952.73,833.22,750.56
"493",49.2,1143.4,953.87,834.16,751.37
"494",49.3,1144.85,955,835.1,752.17
"495",49.4,1146.31,956.14,836.04,752.97
"496",49.5,1147.77,957.28,836.98,753.77
"497",49.6,1149.22,958.42,837.92,754.57
"498",49.7,1150.68,959.56,838.86,755.37
"499",49.8,1152.13,960.7,839.8,756.17
"500",49.9,1153.59,961.84,840.74,756.97
"501",50,1155.04,962.98,841.68,757.77
"502",50.1,1156.5,964.12,842.61,758.57
"503",50.2,1157.96,965.26,843.55,759.37
"504",50.3,1159.41,966.4,844.49,760.17
"505",50.4,1160.87,967.53,845.43,760.97
"506",50.5,1162.32,968.67,846.37,761.78
"507",50.6,1163.78,969.81,847.31,762.58
"508",50.7,1165.23,970.95,848.25,763.38
"509",50.8,1166.69,972.09,849.18,764.18
"510",50.9,1168.14,973.23,850.12,764.98
"511",51,1169.6,974.37,851.06,765.78
"512",51.1,1171.05,975.5,852,766.58
"513",51.2,1172.51,976.64,852.94,767.38
"514",51.3,1173.96,977.78,853.88,768.18
"515",51.4,1175.42,978.92,854.81,768.97
"516",51.5,1176.87,980.06,855.75,769.77
"517",51.6,1178.33,981.19,856.69,770.57
"518",51.7,1179.78,982.33,857.63,771.37
"519",51.8,1181.23,983.47,858.57,772.17
"520",51.9,1182.69,984.61,859.5,772.97
"521",52,1184.14,985.74,860.44,773.77
"522",52.1,1185.6,986.88,861.38,774.57
"523",52.2,1187.05,988.02,862.32,775.37
"524",52.3,1188.51,989.16,863.25,776.17
"525",52.4,1189.96,990.29,864.19,776.97
"526",52.5,1191.41,991.43,865.13,777.77
"527",52.6,1192.87,992.57,866.06,778.57
"528",52.7,1194.32,993.71,867,779.36
"529",52.8,1195.77,994.84,867.94,780.16
"530",52.9,1197.23,995.98,868.88,780.96
"531",53,1198.68,997.12,869.81,781.76
"532",53.1,1200.13,998.25,870.75,782.56
"533",53.2,1201.59,999.39,871.69,783.36
"534",53.3,1203.04,1000.53,872.62,784.15
"535",53.4,1204.49,1001.66,873.56,784.95
"536",53.5,1205.95,1002.8,874.5,785.75
"537",53.6,1207.4,1003.94,875.43,786.55
"538",53.7,1208.85,1005.07,876.37,787.35
"539",53.8,1210.31,1006.21,877.3,788.15
"540",53.9,1211.76,1007.34,878.24,788.94
"541",54,1213.21,1008.48,879.18,789.74
"542",54.1,1214.67,1009.62,880.11,790.54
"543",54.2,1216.12,1010.75,881.05,791.34
"544",54.3,1217.57,1011.89,881.98,792.13
"545",54.4,1219.02,1013.02,882.92,792.93
"546",54.5,1220.48,1014.16,883.86,793.73
"547",54.6,1221.93,1015.3,884.79,794.53
"548",54.7,1223.38,1016.43,885.73,795.32
"549",54.8,1224.83,1017.57,886.66,796.12
"550",54.9,1226.28,1018.7,887.6,796.92
"551",55,1227.74,1019.84,888.53,797.71
"552",55.1,1229.19,1020.97,889.47,798.51
"553",55.2,1230.64,1022.11,890.4,799.31
"554",55.3,1232.09,1023.24,891.34,800.11
"555",55.4,1233.54,1024.38,892.27,800.9
"556",55.5,1235,1025.51,893.21,801.7
"557",55.6,1236.45,1026.65,894.14,802.5
"558",55.7,1237.9,1027.78,895.08,803.29
"559",55.8,1239.35,1028.92,896.01,804.09
"560",55.9,1240.8,1030.05,896.95,804.88
"561",56,1242.25,1031.19,897.88,805.68
"562",56.1,1243.7,1032.32,898.82,806.48
"563",56.2,1245.15,1033.46,899.75,807.27
"564",56.3,1246.61,1034.59,900.69,808.07
"565",56.4,1248.06,1035.73,901.62,808.87
"566",56.5,1249.51,1036.86,902.56,809.66
"567",56.6,1250.96,1037.99,903.49,810.46
"568",56.7,1252.41,1039.13,904.42,811.25
"569",56.8,1253.86,1040.26,905.36,812.05
"570",56.9,1255.31,1041.4,906.29,812.84
"571",57,1256.76,1042.53,907.23,813.64
"572",57.1,1258.21,1043.66,908.16,814.44
"573",57.2,1259.66,1044.8,909.09,815.23
"574",57.3,1261.11,1045.93,910.03,816.03
"575",57.4,1262.56,1047.06,910.96,816.82
"576",57.5,1264.01,1048.2,911.89,817.62
"577",57.6,1265.46,1049.33,912.83,818.41
"578",57.7,1266.91,1050.46,913.76,819.21
"579",57.8,1268.36,1051.6,914.69,820
"580",57.9,1269.81,1052.73,915.63,820.8
"581",58,1271.26,1053.86,916.56,821.59
"582",58.1,1272.71,1055,917.49,822.39
"583",58.2,1274.16,1056.13,918.43,823.18
"584",58.3,1275.61,1057.26,919.36,823.98
"585",58.4,1277.06,1058.4,920.29,824.77
"586",58.5,1278.51,1059.53,921.23,825.56
"587",58.6,1279.96,1060.66,922.16,826.36
"588",58.7,1281.41,1061.79,923.09,827.15
"589",58.8,1282.86,1062.93,924.02,827.95
"590",58.9,1284.31,1064.06,924.96,828.74
"591",59,1285.76,1065.19,925.89,829.54
"592",59.1,1287.21,1066.32,926.82,830.33
"593",59.2,1288.66,1067.46,927.75,831.12
